Date,Date Value,Open,High,Low,Close,Adj Close,Volume
7/8/2019,43654,10.42,10.43,10.14,10.2,10.113198,48143100
7/9/2019,43655,10.12,10.29,10.04,10.25,10.162772,35455800
7/10/2019,43656,10.29,10.43,10.18,10.2,10.113198,39101700
7/11/2019,43657,10.22,10.31,10.1,10.11,10.023964,33670100
7/12/2019,43658,10.18,10.39,10.14,10.37,10.281754,39195500
7/15/2019,43661,10.25,10.34,10.2,10.27,10.182603,42095100
7/16/2019,43662,10.23,10.4,10.21,10.38,10.291666,39533200
7/17/2019,43663,10.37,10.37,9.98,9.98,9.895071,53683000
7/18/2019,43664,10.01,10.19,9.96,10.06,9.97439,45155200
7/19/2019,43665,10.08,10.19,10.03,10.04,9.954561,34653900
7/22/2019,43668,10.05,10.23,10.05,10.21,10.123113,43326900
7/23/2019,43669,10.28,10.68,10.27,10.65,10.55937,74298300
7/24/2019,43670,10.58,10.7,10.54,10.68,10.589114,44897500
7/25/2019,43671,10.63,10.67,10.36,10.43,10.341242,46121000
7/26/2019,43672,10.47,10.55,10.4,10.51,10.42056,27015800
7/29/2019,43675,10.5,10.58,10.38,10.38,10.291666,37369400
7/30/2019,43676,10.39,10.58,10.28,10.52,10.430476,45314500
7/31/2019,43677,10.76,10.79,10.05,10.45,10.361071,172474100
8/1/2019,43678,10.37,10.49,9.98,10.08,9.99422,87921700
8/2/2019,43679,10.01,10.08,9.82,10,9.914901,64296400
8/5/2019,43682,9.79,9.81,9.61,9.66,9.577794,70243200
8/6/2019,43683,9.71,9.75,9.48,9.57,9.48856,66397800
8/7/2019,43684,9.44,9.47,9.23,9.46,9.379496,76790400
8/8/2019,43685,9.51,9.53,9.32,9.49,9.409241,49406600
8/9/2019,43686,9.47,9.48,9.12,9.15,9.072134,76720800
8/12/2019,43689,9.04,9.09,8.95,9.05,8.972985,65574900
8/13/2019,43690,9.23,9.59,9.21,9.35,9.270432,74026400
8/14/2019,43691,9.24,9.3,8.96,9.03,8.953155,89194600
8/15/2019,43692,8.54,8.63,7.65,8.01,7.941835,401048700
8/16/2019,43693,8.41,8.8,8.37,8.79,8.715197,248883600
8/19/2019,43696,8.88,8.89,8.61,8.67,8.596218,111637600
8/20/2019,43697,8.58,8.6,8.33,8.38,8.308687,102302300
8/21/2019,43698,8.36,8.48,8.14,8.16,8.090559,85258500
8/22/2019,43699,8.18,8.31,8.11,8.19,8.120303,68146600
8/23/2019,43700,8.09,8.1,7.76,7.97,7.902175,128598300
8/26/2019,43703,8.06,8.1,7.92,8.05,7.981494,57987200
8/27/2019,43704,8.09,8.11,7.91,7.93,7.862516,66069600
8/28/2019,43705,7.92,7.99,7.76,7.94,7.872431,57698300
8/29/2019,43706,8.04,8.2,8,8.11,8.040984,58741000
8/30/2019,43707,8.14,8.26,8.11,8.25,8.179793,47323600
9/3/2019,43711,8.1,8.39,8.08,8.33,8.259111,67648900
9/4/2019,43712,8.41,8.87,8.4,8.8,8.725114,93653700
9/5/2019,43713,8.99,9.23,8.8,8.81,8.735028,86891100
9/6/2019,43714,8.82,8.82,8.57,8.71,8.635879,42846200
9/9/2019,43717,8.75,9.05,8.73,8.96,8.883751,49960500
9/10/2019,43718,8.91,9.27,8.9,9.14,9.06222,62617200
9/11/2019,43719,9.15,9.36,9.06,9.36,9.280347,57094900
9/12/2019,43720,9.4,9.52,9.22,9.26,9.181198,68115100
